Row Labels,Count of ALL,HMDB Class,HMDB Class 2,Note
N-alpha-Acetyllysine,6,Amino Acids,,
Argininosuccinic acid,5,Amino Acids,,
D-Glutamine,5,Amino Acids,,
D-Pipecolic acid,5,Amino Acids,,
Homo-L-arginine,5,Amino Acids,,
Imidazoleacetic acid,5,Amino Acids,,
L-Glutamine,5,Amino Acids,,
L-Pipecolic acid,5,Amino Acids,,
L-Thyronine,5,Amino Acids,,
N-Formyl-L-methionine,5,Amino Acids,,
Pantothenol,5,Amino Acids,Amino alcohols,
Pipecolic acid,5,Amino Acids,,
Ureidoisobutyric acid,5,Amino Acids,,
Acetaldehyde oxime,9,Amino Alcohols,,
Ethanolamine,6,Amino Alcohols,,
Urea,24,Amino Ketones,,
N-Acetylarylamine,10,Amino Ketones,,
Formamide,9,Amino Ketones,,
N-Acetylputrescine,9,Amino Ketones,Polyamines,
Acrylamide,7,Amino Ketones,,
N4-Acetylaminobutanal,5,Amino Ketones,,
Gallic acid,15,Aromatic Acids,,
Phenylpropiolic acid,6,Aromatic Acids,,
tolbutamide,5,Benzenesulfonamides,,
Coumarin,6,Benzopyrans,,
1-deoxy-D-xylulose,18,Carbohydrates,,
Deoxyribose,18,Carbohydrates,,
Ribonolactone,6,Carbohydrates,,
Enterostatin,5,Carboxamidines,,
N-Methylsalsolinol,5,Catecholamines and Derivatives,,
Imidazole,19,Cyclic amines,,
Pyridine,18,Cyclic amines,,Probable analytical contaminant
Nornicotine,6,Cyclic amines,,
Azelaic acid,14,Dicarboxylic Acids,,
2-Methylglutaconic acid,12,Dicarboxylic Acids,,
3-Hexenedioic acid,12,Dicarboxylic Acids,,
3-Methylglutaconic acid,12,Dicarboxylic Acids,,
2-Octenedioic acid,11,Dicarboxylic Acids,,
3-Hydroxysuberic acid,11,Dicarboxylic Acids,,
cis-4-Octenedioic acid,11,Dicarboxylic Acids,,
Methylmalonic acid,11,Dicarboxylic Acids,,
Succinic acid,11,Dicarboxylic Acids,,
L-Malic acid,9,Dicarboxylic Acids,,
Malic acid,9,Dicarboxylic Acids,,
2-Methylglutaric acid,8,Dicarboxylic Acids,,
Adipic acid,8,Dicarboxylic Acids,,
Methylglutaric acid,8,Dicarboxylic Acids,,
Monomethyl glutaric acid,8,Dicarboxylic Acids,,
"2, 2-Dimethylsuccinic acid",7,Dicarboxylic Acids,,
Citraconic acid,7,Dicarboxylic Acids,,
Glutaconic acid,7,Dicarboxylic Acids,,
Itaconic acid,7,Dicarboxylic Acids,,
Mesaconic acid,7,Dicarboxylic Acids,,
Citramalic acid,6,Dicarboxylic Acids,,
D-2-Hydroxyglutaric acid,6,Dicarboxylic Acids,,
Fumaric acid,6,Dicarboxylic Acids,,
L-2-Hydroxyglutaric acid,6,Dicarboxylic Acids,,
Maleic acid,6,Dicarboxylic Acids,,
Loperamide,5,Diphenylmethanes,,
Acetic acid,24,Fatty Acids,,
gamma-Butyrolactone,13,Fatty Acids,,
Heptanoic acid,12,Fatty Acids,,
Formic acid,11,Fatty Acids,,
e-Aminocaproic acid,8,Fatty Acids,,
Deoxycholic acid 3-glucuroni,8,Glucuronides,,
"(3a, 5b, 7a)-23-carboxy-7-hy",8,Gulcuronides,Bile Acids,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid"
2-Ethyl-2-Hydroxybutyric aci,23,Hydroxy Acids,,
2-Hydroxy-3-methylpentanoic,23,Hydroxy Acids,,
2-Hydroxycaproic acid,23,Hydroxy Acids,,
5-Hydroxyhexanoic acid,23,Hydroxy Acids,,
D-Leucic acid,23,Hydroxy Acids,,
Hydroxyisocaproic acid,23,Hydroxy Acids,,
Leucinic acid,23,Hydroxy Acids,,
"2, 3-Dihydroxyvaleric acid",18,Hydroxy Acids,,
alpha-CEHC,12,Hydroxy Acids,,
cis-4-Hydroxycyclohexylaceti,11,Hydroxy Acids,,
trans-4-Hydroxycyclohexylace,11,Hydroxy Acids,,
Pyruvatoxime,8,Hydroxy Acids,,
3-Hydroxyglutaric acid,6,Hydroxy Acids,Dicarboxylic Acids,
Arabinonic acid,5,Hydroxy Acids,,
Methylimidazoleacetic acid,8,Imidazoles,,
Methylimidazoleacetic acid2,7,Imidazoles,,
Adenine,6,Imidazopyrimidines,,
3-Indolepropionic acid,16,Indoles and Indole Derivatives,,
Indole,12,Indoles and Indole Derivatives,,
Indoleacrylic acid,12,Indoles and Indole Derivatives,,
Indoxyl,11,Indoles and Indole Derivatives,,
3-Indolebutyric acid,6,Indoles and Indole Derivatives,,
3-Methylindole,5,Indoles and Indole Derivatives,,
Carbon Dioxide,22,Inorganic Ions and Gases,,
Dimethylsulfide,19,Inorganic Ions and Gases,,
Phosphoric acid,15,Inorganic Ions and Gases,,
Hydrogen peroxide,10,Inorganic Ions and Gases,,
Nitrate,10,Inorganic Ions and Gases,,
Peroxynitrite,10,Inorganic Ions and Gases,Oxoazaniums,
Cobalt,8,Inorganic Ions and Gases,,
Phosphorus,6,Inorganic Ions and Gases,,
Boron,5,Inorganic Ions and Gases,,
Carbon monoxide,5,Inorganic Ions and Gases,,
Carbonic acid,5,Inorganic Ions and Gases,,
Dimethyl sulfone,5,Inorganic Ions and Gases,,
2-Methylacetoacetic acid,18,Keto- Acids,,
2-Oxovaleric acid,18,Keto- Acids,,
a-Ketoisovaleric acid,18,Keto- Acids,,
Levulinic acid,18,Keto- Acids,,
Methylacetoacetic acid,18,Keto- Acids,,
2-Ketohexanoic acid,14,Keto- Acids,,
2-Methyl-3-ketovaleric acid,14,Keto- Acids,Hydroxy Acids,
3-Methyl-2-oxovaleric acid,14,Keto- Acids,,
Ketoleucine,14,Keto- Acids,,
Diacetyl,13,Ketones ,,
Oxolan-3-one,13,Ketones ,Lactones,
Acetone,11,Ketones ,,
2-Heptanone,6,Ketones ,,
4-Heptanone,6,Ketones ,,
Ethyl isobutyl ketone,6,Ketones ,,
delta-Hexanolactone,12,Lactones,,
gamma-Caprolactone,12,Lactones,,
"Erythrono-1, 4-lactone",11,Lactones,,
Dihydrolipoamide,5,Lipoamides and Derivatives,,
Sulforaphane,8,Miscellaneous,,
Menadione,9,Naphthoquinones,,
5'-Methylthioadenosine,5,Nucleoside Analogues,,
Sodium lauryl sulfate,5,Organic Sulfuric Acids and Derivatives,,
Lisinopril,5,Peptidomimetics,,
Ibuprofen,6,Phenylacetic acid Derivatives,,
Guanidine,7,Polyamines,,
Agmatine,5,Polyamines,,
Pantetheine,14,Polypeptides,,
alpha-Aspartyl-lysine,10,Polypeptides,,
Aspartylysine,10,Polypeptides,,
gamma glutamyl ornithine,9,Polypeptides,,
epsilon-(gamma-Glutamyl)-lys,6,Polypeptides,,Epsilon-(gamma-Glutamyl)-lysine
Glycyl-L-leucine,6,Polypeptides,,
Ophthalmic acid,6,Polypeptides,,
5-Acetylamino-6-amino-3-meth,5,Polypeptides,,"Name truncated, classification assumed"
5-L-Glutamyl-L-alanine,5,Polypeptides,,
Glutamylalanine,5,Polypeptides,,
Protoporphyrinogen IX,5,Porphyrins,,
Dihydropteridine,18,Pteridines,Carboxamidines,
"7, 8-Dihydropteroic acid",7,Pterins,,
Tetrahydropteridine,7,Pterins,,
3-Methylxanthine,5,Purines and Purine Derivatives,,
7-Methylxanthine,5,Purines and Purine Derivatives,,
"1, 3-Dimethyluracil",12,Pyrimidines and Derivatives,,
Dihydrothymine,5,Pyrimidines and Derivatives,,
Pyrimidine,5,Pyrimidines and Derivatives,,
Thymine,5,Pyrimidines and Derivatives,,
Phosphorylcholine,16,Quaternary Amines,,
Betaine,14,Quaternary Amines,Amino Acids,
16-Oxoestrone,12,Steroids and Steroid Derivatives,,
Diethylthiophosphate,15,Sulfophosphonates,,
Sumatriptan,5,Triptans,,
"1, 8-Cineole",4,,,
"2, 3-Dinor-TXB2",4,,,
20-trifluoromethyl-leukotrie,4,,,
2-Aminoisobutyric acid,4,,,
2-Deoxyribonic acid,4,,,
2-Keto-glutaramic acid,4,,,
3-Aminoisobutanoic acid,4,,,
3-Hydroxyhippuric acid,4,,,
3-Hydroxy-L-proline,4,,,
4-Carboxyphenylglycine,4,,,
4-Hydroxycyclohexylcarboxyli,4,,,
4-hydroxydebrisoquine,4,,,
4-Methylcatechol,4,,,
5-Amino-2-oxopentanoate,4,,,
5-Aminolevulinic acid,4,,,
5-Methoxytryptophol,4,,,
alpha-Hydroxyhippuric acid,4,,,
alpha-Terpineol,4,,,
beta-Alanine,4,,,
Carvone,4,,,
Cinnamic acid,4,,,
Creatine,4,,,
D-Alanine,4,,,
Danazol,4,,,
Dihydrouracil,4,,,
Dimethylglycine,4,,,
Dimethyl-L-arginine,4,,,
Dopaquinone,4,,,
Doxylamine,4,,,
D-Ribose,4,,,
D-Ribulose,4,,,
D-Xylose,4,,,
D-Xylulose,4,,,
Estrone,4,,,
gamma-Aminobutyric acid,4,,,
gamma-terpinene,4,,,
Geraniol,4,,,
Guaiacol,4,,,
Homoveratric acid,4,,,
Hydantoin-5-propionic acid,4,,,
Hydrogen,4,,,
Hydroxyproline,4,,,
Hydroxysepiapterin,4,,,
Imidazolone,4,,,
L-Acetylcarnitine,4,,,
L-Alanine,4,,,
L-Allothreonine,4,,,
L-alpha-aminobutyric acid,4,,,
L-alpha-glutamyl-L-Lysine,4,,,
L-Arabinose,4,,,
Leucodopachrome,4,,,
Leukotriene E4,4,,,
l-Glutamic-gamma-semialdehyd,4,,,
L-Homoserine,4,,,
Limonene,4,,,
L-Ribulose,4,,,
L-Threo-2-pentulose,4,,,
L-Threoneopterin,4,,,
L-Threonine,4,,,
Magnesium,4,,,
"N6, N6, N6-Trimethyl-L-lysin",4,,,
N-Acetyl-L-alanine,4,,,
N-Acetyl-L-glutamate 5-semia,4,,,
N-Acetyl-L-tyrosine,4,,,
Neopterin,4,,,
N-Methylhydantoin,4,,,
Perillyl aldehyde,4,,,
Pravastatin,4,,,
Presqualene diphosphate,4,,,
Propionylglycine,4,,,
Propranolol,4,,,
R-b-aminoisobutyric acid,4,,,
Salicyluric acid,4,,,
Sarcosine,4,,,
S-b-aminoisobutyric acid,4,,,
Symmetric dimethylarginine,4,,,
Thymol,4,,,
Umanopterin,4,,,
11-Hydroxyandrosterone,3,,,
"16, 17-Epiestriol",3,,,
16b-Hydroxyestradiol,3,,,
17-Epiestriol,3,,,
1-Pyrroline-4-hydroxy-2-carb,3,,,
2-Aminoacrylate,3,,,
2-Hydroxyestradiol,3,,,
2-Oxoarginine,3,,,
2-Phenylglycine,3,,,
"3, 4-Dimethylbenzoic acid3",3,,,
3-Amino-2-piperidone,3,,,
3-Aminopropionaldehyde,3,,,
3-Hydroxypropanal,3,,,
3'-Hydroxystanozolol,3,,,
3-Methylphenylacetic acid3,3,,,
3-Phenoxypropionic acid,3,,,
4-Acetamidobutanoic acid,3,,,
4-Coumaryl alcohol,3,,,
4-Ethylbenzoic acid,3,,,
4-Hydroxy-4-(3-pyridyl)-but,3,,,
4-Methoxyphenylacetic acid,3,,,
4-Trimethylammoniobutanoic a,3,,,
"5-Androstene-3b, 16a, 17a-tr",3,,,
"5-Androstene-3b, 16b, 17a-tr",3,,,
5-Androstenetriol,3,,,
6-methyltetrahydropterin,3,,,
Acetaminophen,3,,,
Acetylcholine,3,,,
Allantoin,3,,,
Aminoacetone,3,,,
Atrolactic acid,3,,,
beta-Tyrosine,3,,,
Biliverdin,3,,,
Caproic acid,3,,,
Caprylic acid,3,,,
Cotinine methonium ion,3,,,
Desaminotyrosine,3,,,
D-Glutamate,3,,,
Diaminopimelic acid,3,,,
Diethanolamine,3,,,
Dimethylmalonic acid,3,,,
D-Lactaldehyde,3,,,
D-Phenyllactic acid,3,,,
ecgonine methyl ester,3,,,
Estriol,3,,,
Ethylmalonic acid,3,,,
Fluorine,3,,,
Gestrinone,3,,,
Glutaric acid,3,,,
Glycylproline,3,,,
Guggulsterone,3,,,
Hexanoylglycine,3,,,
Homocysteine,3,,,
Homovanillin,3,,,
Hydrocinnamic acid,3,,,
Hydrogen sulfide,3,,,
Hydroxylamine,3,,,
Hypotaurine,3,,,
Iminoaspartic acid,3,,,
Indoleacetaldehyde,3,,,
Isocaproic acid,3,,,
Isovalerylalanine,3,,,
Isovalerylsarcosine,3,,,
Kyotorphin,3,,,
Lactaldehyde,3,,,
Leukotriene D4,3,,,
Leukotriene E3,3,,,
L-Glutamic acid,3,,,
Lipoamide,3,,,
L-Threo-3-Phenylserine,3,,,
L-Tyrosine,3,,,
Mesoporphyrin IX,3,,,
Methylcysteine,3,,,
Methylsuccinic acid,3,,,
Monoethyl malonic acid,3,,,
Morphiceptin,3,,,
"N, N-Dimethylformamide",3,,,
"N-[(3a, 5b, 7a, 12a)-3, 12-d",3,,,
"N-[(3a, 5b, 7a, 12a)-3, 7-di",3,,,
N-a-Acetylcitrulline,3,,,
N-Acetylserine,3,,,
N-Acryloylglycine,3,,,
Neuroprotectin D1,3,,,
N-Methyl-D-aspartic acid,3,,,
O-Acetylserine,3,,,
o-Tyrosine,3,,,
Pentadecanoic acid,3,,,
Perillic acid,3,,,
Phenyllactic acid,3,,,
Phytol,3,,,
Postin,3,,,
Potassium,3,,,
Propionic acid,3,,,
Pteridine,3,,,
Pyroglutamic acid,3,,,
Pyrroline hydroxycarboxylic,3,,,
Quinaldic acid,3,,,
Resolvin D5,3,,,
Riboflavin,3,,,
Shikimic acid,3,,,
Sulfide,3,,,
Taurolithocholic acid 3-sulf,3,,,
Tetrahydrocurcumin,3,,,
Thromboxane,3,,,
Thyrotropin-releasing factor,3,,,
trans-Cinnamic acid,3,,,
Triamterene,3,,,
Ubiquinone,3,,,
Undecanedioic acid,3,,,
Valproic acid,3,,,
"(3a, 5b, 7a, 12a)-24-[(carbo",2,,,
"1, 3, 12-Trihydroxycholan-24",2,,,
"1, 3, 7, 12-Tetrahydroxychol",2,,,
"1, 3-Diaminopropane",2,,,
"11, 12-Dheta",2,,,
"11, 12-DiHETrE",2,,,
"11a-Hydroxy-9, 15-diox",2,,,
"11H-14, 15-EETA",2,,,
11-HPETE,2,,,
11-trans-Leukotriene C4,2,,,
12-HPETE,2,,,
12-Ketodeoxycholic acid,2,,,
12-keto-tetrahydro-Leukotrie,2,,,
12-Leukotriene B4,2,,,
"13, 14-Dihydro-15-keto-PGE2",2,,,
13S-hydroxyoctadecadienoic a,2,,,
"14, 15-DiHETrE",2,,,
"14, 15-Dihydroxyeicosatrieno",2,,,
"15H-11, 12-EETA",2,,,
15-HPETE,2,,,
15-Keto-prostaglandin F2alph,2,,,
15S-hydroxyeicosatrienoic ac,2,,,
19-Oxotestosterone,2,,,
"1b, 3a, 12a-Trihydroxy-5b-ch",2,,,
"1b, 3a, 7a-Trihydroxy-5b-cho",2,,,
"1-Benzyl-1, 2, 3, 4-tetrahyd",2,,,
1b-Hydroxycholic acid,2,,,
"2, 3-Diaminopropionic acid",2,,,
"2, 3-Dimethyl-3-hydroxygluta",2,,,
"2, 8-Dihydroxyadenine",2,,,
20-hydroxy-PGF2a,2,,,
22-Ethyl-2-Hydroxybutyric ac,2,,,
22-Hydroxy-3-methylpentanoic,2,,,
22-Hydroxycaproic acid,2,,,
23-Hydroxysuberic acid,2,,,
25-Hydroxyhexanoic acid,2,,,
2-Aminomuconic acid,2,,,
2-Arachidonylglycerol,2,,,
"2b, 3a, 7a, 12a-Tetrahydroxy",2,,,
"2b, 3a, 7a-Trihydroxy-5b-cho",2,,,
2-Hydroxyadipic acid,2,,,
2-Isopropylmalic acid,2,,,
2-Methyl-3-hydroxybutanoic acid,2,,,
2-Octenoic acid,2,,,
2-Oxo-4-methylthiobutanoic a,2,,,
3-(3-Hydroxyphenyl)propanoic,2,,,
"3a, 4b, 7a, 12a-Tetrahydroxy",2,,,
"3a, 4b, 7a-Trihydroxy-5b-cho",2,,,
"3a, 6a, 7b-Trihydroxy-5b-cho",2,,,
"3a, 6b, 7a, 12a-Tetrahydroxy",2,,,
"3a, 6b, 7b, 12a-Tetrahydroxy",2,,,
"3a, 6b, 7b, 12b-Tetrahydroxy",2,,,
"3a, 6b, 7b-Trihydroxy-5b-cho",2,,,
"3a, 7a, 12a, 19-Tetrahydroxy",2,,,
"3a, 7a, 12b-Trihydroxy-5b-ch",2,,,
"3a, 7b, 12a-Trihydroxy-5a-Ch",2,,,
"3a, 7b, 12b-Trihydroxy-5b-ch",2,,,
3-Aminosalicylic acid,2,,,
"3b, 15b, 17a-Trihydroxy-preg",2,,,
"3b, 17a, 21-Trihydroxypregne",2,,,
"3b, 4b, 7a, 12a-Tetrahydroxy",2,,,
"3b, 7a, 12a-Trihydroxy-5a-Ch",2,,,
"3b, 7a, 12a-Trihydroxy-5b-ch",2,,,
"3b, 7b, 12a-Trihydroxy-5a-Ch",2,,,
"3b, 7b, 12a-Trihydroxy-5b-ch",2,,,
"3-Hexaprenyl-4, 5-Dihydroxyb",2,,,
3-Hydroxyadipic acid,2,,,
3-Hydroxycapric acid,2,,,
3-Hydroxymethylglutaric acid,2,,,
3-Methyladipic acid,2,,,
3-Methyldioxyindole,2,,,
3-Methylglutarylcarnitine,2,,,
"4-(2-Aminophenyl)-2, 4-dioxo",2,,,
4-(3-Pyridyl)-3-butenoic aci,2,,,
4a-peroxy-tetrahydrobiopteri,2,,,
4-Chloromethandienone,2,,,
4-Dihydroboldenone,2,,,
4-Guanidinobutanoic acid,2,,,
4-Guanidinobutanoic acid2TM,2,,,
4-Hydroxystyrene,2,,,
4-TrimethylammoniobutanalM,2,,,
5(S)-Hydroperoxyeicosatetrae,2,,,
"5, 6-DHET",2,,,
"5, 6-Dihydroxyindole",2,,,
5a-Androstan-3b-ol,2,,,
5-Formiminotetrahydrofolic a,2,,,
5'-Hydroxycotinine,2,,,
5-Hydroxytryptophol,2,,,
5-Methoxytryptophan,2,,,
"6a, 12a-Dihydroxylithocholic",2,,,
6-Hydroxymelatonin,2,,,
6-keto-Prostaglandin F1a,2,,,
6-trans-12-epi-Leukotriene B,2,,,
6-trans-Leukotriene B4,2,,,
"7, 8-Dihydroneopterin",2,,,
7a-Hydroxy-3-oxo-5b-cholanoi,2,,,
7-Hydroxy-3-oxocholanoic aci,2,,,
8(S)-HPETE,2,,,
"8, 11, 14-Eicosatrienoic aci",2,,,
"8, 9-DiHETrE",2,,,
"8, 9-Dihydroxyeicosatrienoic",2,,,
8-Hydroxyguanine,2,,,
8-iso-15-keto-PGF2alpha,2,,,
8-iso-PGA1,2,,,
8-iso-PGF3alpha,2,,,
8-isoprostaglandin E2,2,,,
"9, 10-epoxyoctadecenoic acid",2,,,
Acetoin,2,,,
Aerobactin,2,,,
Aldosterone,2,,,
Allocholic acid,2,,,
Allysine,2,,,
Alpha-dimorphecolic,2,,,
alpha-Tocotrienol,2,,,
Amide,2,,,
Ammonia,2,,,
a-Muricholic acid,2,,,
Anatabine,2,,,
Androstanedione,2,,,
Atorvastatin,2,,,
Benzyl alcohol,2,,,
beta-Aminopropionitrile,2,,,
beta-Glycerophosphoric acid,2,,,
Biocytin,2,,,
Butanol,2,,,
Butanone,2,,,
Butyric acid,2,,,
Canthaxanthin,2,,,
Chlorite,2,,,
Cholic acid,2,,,
Cholic acid glucuronide,2,,,
cis-Urocanic acid,2,,,
Copper,2,,,
Cortisone,2,,,
Cotinine N-oxide,2,,,
Cysteamine,2,,,
D-1-Piperideine-2-carboxylic,2,,,
Deacetyldiltiazem,2,,,
Dehydroandrosterone,2,,,
Dehydroepiandrosterone,2,,,
Deoxycytidine,2,,,
Deoxyinosine,2,,,
Dinoprostone,2,,,
D-Lysine,2,,,
Dodecanoylcarnitine,2,,,
D-Serine,2,,,
Enkephalin L,2,,,
Epitestosterone,2,,,
Equol,2,,,
Etiocholanedione,2,,,
Formiminoglutamic acid,2,,,
Galactosylhydroxylysine,2,,,
gamma-Glutamylcysteine,2,,,
Geranyl-PP,2,,,
Glucosan,2,,,
Glyceryl phosphate,2,,,
glycochenodeoxycholate-3-sul,2,,,
Guaifenesin,2,,,
Harderoporphyrinogen,2,,,
Hepoxilin A3,2,,,
Hepoxilin B3,2,,,
hexacosanoyl carnitine,2,,,
Hexanoylcarnitine,2,,,
Histidylproline diketopipera,2,,,
Hydrogen Sulfite,2,,,
Hydroxycotinine,2,,,
Hydroxyphenylacetylglycine,2,,,
Hyocholic acid,2,,,
Isobutanol,2,,,
Isobutyric acid,2,,,
Isobutyrylglycine,2,,,
Kynurenic acid,2,,,
Lactodifucotetraose,2,,,
L-alpha-glutamyl-L-Lysine2T,2,,,
L-Dopa,2,,,
Leukotriene B4,2,,,
Leukotriene C4,2,,,
Levuglandin D2,2,,,
Levuglandin E2,2,,,
L-Hexanoylcarnitine,2,,,
L-Histidinol,2,,,
L-Homocysteine sulfonic acid,2,,,
Lipoxin A4,2,,,
Lipoxin B4,2,,,
L-Lysine,2,,,
L-Serine,2,,,
Malondialdehyde,2,,,
Maltitol,2,,,
m-Cresol,2,,,
Muricholic acid,2,,,
N-(omega)-Hydroxyarginine3,2,,,
"N-[(3a, 5b, 7a)-3-hydroxy-24",2,,,
"N-[(3a, 5b, 7b)-7-hydroxy-24",2,,,
N-Acetylcadaverine,2,,,
N-alpha-Acetyl-L-arginine,2,,,
N-alpha-Acetyl-L-arginine2T,2,,,
N-Butyrylglycine,2,,,
N'-Hydroxymethylnorcotinine,2,,,
Nicotinamide N-oxide,2,,,
Nicotinamide riboside,2,,,
Nutriacholic acid,2,,,
O-6-deoxy-a-L-galactopyranos,2,,,
o-Cresol,2,,,
Octanal,2,,,
Octanol,2,,,
Oxoamide,2,,,
Oxycodone,2,,,
p-Cresol,2,,,
P-cymene,2,,,
Phenylacetaldehyde,2,,,
Phenylglyoxylic acid,2,,,
Pregnenolone sulfate,2,,,
Progesterone,2,,,
Propionylcarnitine,2,,,
Prostaglandin A1,2,,,
Prostaglandin B1,2,,,
Prostaglandin D2,2,,,
Prostaglandin F3alpha,2,,,
Prostaglandin H2,2,,,
Prostaglandin I2,2,,,
Pterin,2,,,
Pyridoxamine,2,,,
Pyrrolidonecarboxylic acid2,2,,,
Pyruvaldehyde,2,,,
Ranitidine,2,,,
Risperidone,2,,,
Sodium,2,,,
Succinylacetone,2,,,
Taurochenodeoxycholate-7-sul,2,,,
Taurocholic acid 3-sulfate,2,,,
Testosterone,2,,,
Tetrahydroneopterin,2,,,
Thromboxane A2,2,,,
Thromboxane B2,2,,,
"trans-1, 4-bis(2-Chlorobenza",2,,,
trans-2-Octenoic acid,2,,,
Tri-N-acetylchitotriose,2,,,
Tryptamine,2,,,
Ubiquinone Q2,2,,,
Urocanic acid,2,,,
Ursocholic acid,2,,,
Valproic acid glucuronide,2,,,
Valproic acid glucuronideM,2,,,
"(9-cis, 9'-cis)-7, 7', 8, 8'",1,,,
"1, 11-Undecanedicarboxylic a",1,,,
"1, 7-Dimethylguanosine",1,,,
11-cis-Retinaldehyde,1,,,
11-Dehydrocorticosterone,1,,,
11-Dehydro-thromboxane B2M,1,,,
"12, 13-DHOME",1,,,
12b-Hydroxy-5b-cholanoic aci,1,,,
12-Hydroxydodecanoic acid,1,,,
12-Hydroxydodecanoic acid2T,1,,,
12R-Hydroperoxyeicosatetraen,1,,,
"15-deoxy-delta-12, 14-PGJ2",1,,,
15-keto-Prostaglandin E2,1,,,
16-a-Hydroxypregnenolone,1,,,
16beta-Hydroxystanozolol,1,,,
17a-Estradiol,1,,,
17a-Ethynylestradiol,1,,,
17-Hydroxypregnenolone sulfa,1,,,
18-Hydroxycortisol,1,,,
19-Nor-5-androstenediol,1,,,
19-Norandrosterone,1,,,
19-Noretiocholanolone,1,,,
1-Hexadecanol,1,,,
1-Hydroxypregnenolone,1,,,
1-Methylguanosine,1,,,
1-Methylhistidine,1,,,
1-Oleoyl-lysophosphatidic ac,1,,,
1-Palmitoyl lysophosphatidic,1,,,
"2(3a, 5b, 7a)-23-carboxy-7-h",1,,,
"2(3a, 5b, 7a, 12a)-24-[(carb",1,,,
"2-(acetylamino)-1, 5-anhydro",1,,,
"2, 2-Dimethylsuccinic acid3",1,,,
"2, 3-Butanediol",1,,,
"2, 3-Hydroxyisobutyric aci",1,,,
"2, 4-Diamino-6-hydroxypyrimi",1,,,
"2, 4-dihydroxybutanoic acid",1,,,
20-Carboxyleukotriene B4,1,,,
20-Hydroxy-leukotriene B42T,1,,,
20-Hydroxy-leukotriene B43,1,,,
20-hydroxy-PGE2,1,,,
"21, 8-Cineole",1,,,
"22, 2-Dimethylsuccinic acid",1,,,
22-Methylacetoacetic acid,1,,,
22-Methylglutaric acid,1,,,
22-Oxovaleric acid,1,,,
23-Hydroxybutyric acid,1,,,
23-Hydroxyglutaric acid,1,,,
23-Methylxanthine,1,,,
24-hydroxydebrisoquine,1,,,
27-Methylxanthine,1,,,
2Acetaldehyde,1,,,
2a-Ketoisovaleric acid,1,,,
