Row Labels,Count of ALL,HMDB Class,HMDB Class 2,Note
alpha-CEHC,12,Hydroxy Acids,,
cis-4-Hydroxycyclohexylaceti,11,Hydroxy Acids,,
L-Norleucine,8,Amino Acids,,
N-Acetylglutamic acid,8,Amino Acids,,
Homocysteine thiolactone,7,Amino Acids,,
L-Tryptophan,7,Amino Acids,,
L-Proline,6,Amino Acids,,
Glycolaldehyde,24,Alcohols and Polyols,Aldehydes,
"3, 4-Dihydroxyphenylglycol",19,Alcohols and Polyols,Polyphenols,
Phenol,17,Alcohols and Polyols,,
Vanylglycol,15,Alcohols and Polyols,Polyphenols,
"Propane-1, 2-diol",13,Alcohols and Polyols,,
Levulinic acid,18,Keto- Acids,,
Methylacetoacetic acid,18,Keto- Acids,,
2-Ketohexanoic acid,14,Keto- Acids,,
trans-4-Hydroxycyclohexylace,11,Hydroxy Acids,,
Pyruvatoxime,8,Hydroxy Acids,,
N6-Acetyl-L-lysine,6,Amino Acids,,
N-Acetyl-L-phenylalanine,6,Amino Acids,,
N-alpha-Acetyllysine,6,Amino Acids,,
Argininosuccinic acid,5,Amino Acids,,
D-Glutamine,5,Amino Acids,,
Propylene glycol,13,Alcohols and Polyols,,
Tyrosol,13,Alcohols and Polyols,,
Isopropyl alcohol,9,Alcohols and Polyols,,
Propyl alcohol,9,Alcohols and Polyols,,
Solerole,8,Alcohols and Polyols,,
2-Methyl-3-ketovaleric acid,14,Keto- Acids,Hydroxy Acids,
3-Methyl-2-oxovaleric acid,14,Keto- Acids,,
Ketoleucine,14,Keto- Acids,,
3-Hydroxyglutaric acid,6,Hydroxy Acids,Dicarboxylic Acids,
Arabinonic acid,5,Hydroxy Acids,,
D-Pipecolic acid,5,Amino Acids,,
Homo-L-arginine,5,Amino Acids,,
Imidazoleacetic acid,5,Amino Acids,,
L-Glutamine,5,Amino Acids,,
L-Pipecolic acid,5,Amino Acids,,
Pantetheine,14,Polypeptides,,
alpha-Aspartyl-lysine,10,Polypeptides,,
Aspartylysine,10,Polypeptides,,
gamma glutamyl ornithine,9,Polypeptides,,
epsilon-(gamma-Glutamyl)-lys,6,Polypeptides,,Epsilon-(gamma-Glutamyl)-lysine
Diacetyl,13,Ketones ,,
Oxolan-3-one,13,Ketones ,Lactones,
Acetone,11,Ketones ,,
"1, 3-Dimethyluracil",12,Pyrimidines and Derivatives,,
Dihydrothymine,5,Pyrimidines and Derivatives,,
L-Thyronine,5,Amino Acids,,
N-Formyl-L-methionine,5,Amino Acids,,
Pantothenol,5,Amino Acids,Amino alcohols,
Pipecolic acid,5,Amino Acids,,
Ureidoisobutyric acid,5,Amino Acids,,
Glycyl-L-leucine,6,Polypeptides,,
Ophthalmic acid,6,Polypeptides,,
5-Acetylamino-6-amino-3-meth,5,Polypeptides,,"Name truncated, classification assumed"
5-L-Glutamyl-L-alanine,5,Polypeptides,,
Glutamylalanine,5,Polypeptides,,
2-Heptanone,6,Ketones ,,
4-Heptanone,6,Ketones ,,
Ethyl isobutyl ketone,6,Ketones ,,
Pyrimidine,5,Pyrimidines and Derivatives,,
Thymine,5,Pyrimidines and Derivatives,,
Acetylglycine,13,Acyl Glycines,,
Sulfolithocholylglycine,10,Acyl Glycines,Bile Acids,
Glutarylglycine,8,Acyl Glycines,,
2-Methylbutyrylglycine,6,Acyl Glycines,,
3-Indolepropionic acid,16,Indoles and Indole Derivatives,,
Indole,12,Indoles and Indole Derivatives,,
Indoleacrylic acid,12,Indoles and Indole Derivatives,,
Cinnamaldehyde,21,Aldehydes,,
Propanal,11,Aldehydes,,
N-Methylformamide,10,Aldehydes,,
Urea,24,Amino Ketones,,
N-Acetylarylamine,10,Amino Ketones,,
Formamide,9,Amino Ketones,,
Acetaldehyde oxime,9,Amino Alcohols,,
Ethanolamine,6,Amino Alcohols,,
3-Phenylpropionylglycine,6,Acyl Glycines,,
Isovalerylglycine,6,Acyl Glycines,,
Phenylpropionylglycine,6,Acyl Glycines,,
Valerylglycine,6,Acyl Glycines,,
Indoxyl,11,Indoles and Indole Derivatives,,
3-Indolebutyric acid,6,Indoles and Indole Derivatives,,
3-Methylindole,5,Indoles and Indole Derivatives,,
Acetaldehyde,6,Aldehydes,,
Formaldehyde,5,Aldehydes,,
Isovaleraldehyde,5,Aldehydes,,
N-Acetylputrescine,9,Amino Ketones,Polyamines,
Acrylamide,7,Amino Ketones,,
N4-Acetylaminobutanal,5,Amino Ketones,,
Guanidine,7,Polyamines,,
Agmatine,5,Polyamines,,
Acetic acid,24,Fatty Acids,,
gamma-Butyrolactone,13,Fatty Acids,,
Heptanoic acid,12,Fatty Acids,,
Formic acid,11,Fatty Acids,,
e-Aminocaproic acid,8,Fatty Acids,,
Imidazole,19,Cyclic amines,,
Pyridine,18,Cyclic amines,,Probable analytical contaminant
Nornicotine,6,Cyclic amines,,
Trimethylamine oxide,26,Aliphatic and Aryl Amines,,
Dimethylamine,8,Aliphatic and Aryl Amines,,
Trimethylamine,7,Aliphatic and Aryl Amines,,
D-Glyceraldehyde 3-phosphate,6,Acyl Phosphates,,
Dihydroxyacetone phosphate2,6,Acyl Phosphates,,
3-Methylxanthine,5,Purines and Purine Derivatives,,
7-Methylxanthine,5,Purines and Purine Derivatives,,
1-deoxy-D-xylulose,18,Carbohydrates,,
Deoxyribose,18,Carbohydrates,,
Ribonolactone,6,Carbohydrates,,
delta-Hexanolactone,12,Lactones,,
gamma-Caprolactone,12,Lactones,,
"Erythrono-1, 4-lactone",11,Lactones,,
Phosphorylcholine,16,Quaternary Amines,,
Betaine,14,Quaternary Amines,Amino Acids,
Gallic acid,15,Aromatic Acids,,
Phenylpropiolic acid,6,Aromatic Acids,,
"7, 8-Dihydropteroic acid",7,Pterins,,
Tetrahydropteridine,7,Pterins,,
Methylimidazoleacetic acid,8,Imidazoles,,
Methylimidazoleacetic acid2,7,Imidazoles,,
Vaporole,14,Alky Nitrates ,Oxoazaniums,
Deoxycholic acid 3-glucuroni,8,Glucuronides,,
"(3a, 5b, 7a)-23-carboxy-7-hy",8,Gulcuronides,Bile Acids,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid"
tolbutamide,5,Benzenesulfonamides,,
Coumarin,6,Benzopyrans,,
Enterostatin,5,Carboxamidines,,
N-Methylsalsolinol,5,Catecholamines and Derivatives,,
Loperamide,5,Diphenylmethanes,,
Adenine,6,Imidazopyrimidines,,
Dihydrolipoamide,5,Lipoamides and Derivatives,,
Sulforaphane,8,Miscellaneous,,
"1, 8-Cineole",4,,,
"2, 3-Dinor-TXB2",4,,,
20-trifluoromethyl-leukotrie,4,,,
2-Aminoisobutyric acid,4,,,
2-Deoxyribonic acid,4,,,
Menadione,9,Naphthoquinones,,
5'-Methylthioadenosine,5,Nucleoside Analogues,,
Sodium lauryl sulfate,5,Organic Sulfuric Acids and Derivatives,,
Lisinopril,5,Peptidomimetics,,
Ibuprofen,6,Phenylacetic acid Derivatives,,
Protoporphyrinogen IX,5,Porphyrins,,
Dihydropteridine,18,Pteridines,Carboxamidines,
16-Oxoestrone,12,Steroids and Steroid Derivatives,,
Diethylthiophosphate,15,Sulfophosphonates,,
Sumatriptan,5,Triptans,,
2-Keto-glutaramic acid,4,,,
3-Aminoisobutanoic acid,4,,,
3-Hydroxyhippuric acid,4,,,
3-Hydroxy-L-proline,4,,,
4-Carboxyphenylglycine,4,,,
